,PCA,Correlation,Volatility,Anomaly,Clustering,Regime,Magnitude,Skewness,Kurtosis,Network,Dispersion,Momentum,Drawdown,Entropy
2016-02-07,0.48826448791847527,0.42656324757092007,0.022192150363892597,0.1111111111111111,0.053993270939079574,0.842644503436708,0.011575776681201454,-0.35561884943066197,2.774784672111727,0.33428030303030304,0.0234678210483731,0.0987567901747548,0.09827890637375444,-1321.8841362337191
2016-02-28,0.5053018584230823,0.4460081796882139,0.02022079697800019,0.1111111111111111,0.055052864480319555,0.6158543578187553,0.011483967107485483,-0.30862685713202365,2.8416846711479575,0.3759469696969697,0.01995182131521792,0.13095698638709513,0.09973390882208788,-1208.138243434335
2016-03-20,0.47956527916044744,0.41959589856322405,0.017422168718344382,0.1111111111111111,0.05131281223014865,0.8359858397011313,0.010628154830672726,-0.053527212046286694,2.312054742011448,0.3494318181818182,0.016513647045528212,0.13386428335208223,0.06338479383110535,-1134.5063798658011
2016-04-10,0.5078186417784769,0.44990053287382625,0.016829961845745436,0.1111111111111111,0.051751703331068655,0.8705106355297454,0.009872960468678563,-0.18743148947001448,2.781211607562758,0.42140151515151514,0.016297918728960303,0.16543352869071765,0.07111569729126786,-1288.7837590250845
2016-05-01,0.4145007356386857,0.3558863466888815,0.015011812277202491,0.1111111111111111,0.04386770791488337,0.05709560119169909,0.008777948959275073,-0.21094081647505566,3.0259300182672995,0.23390151515151514,0.015347809474526403,0.14806387537317767,0.061206341075750625,-1482.0733411890603
2016-05-22,0.3864414221831105,0.34040352851389016,0.01427812829040637,0.1111111111111111,0.04518279020610721,0.8893186251951751,0.00831839869136443,-0.0037667942314563063,2.0067072509562944,0.20549242424242425,0.014650396065725078,0.17050035038247785,0.04452328654762723,-1780.7781411617216
2016-06-12,0.37408007350273687,0.32831259535905705,0.013081616230227838,0.1111111111111111,0.04466523902141805,0.17701702072363995,0.007726916285488165,-0.012517872438440882,2.1473359953390974,0.21306818181818182,0.013374451612097668,0.11800065377785499,0.04775514662675728,-1864.414545266866
2016-07-03,0.5439099457344626,0.4843859646313792,0.017182719757942416,0.1111111111111111,0.05302995501957455,0.0547816756671591,0.009450808166561445,0.29743159231898286,5.312514915355402,0.4706439393939394,0.017302879714840933,0.1234927066134801,0.07206449144057987,-1117.3856423614525
2016-07-24,0.5606400041245077,0.5028004583265745,0.017260269138076823,0.1111111111111111,0.05375459495486617,0.38090656863226857,0.009277758608657415,0.2030097496340662,6.257033178611184,0.5293560606060606,0.01684468065498781,0.12200051274748352,0.07202844933600536,-1146.4387983990364
2016-08-14,0.5313025878383685,0.47275077888764305,0.017516654202224945,0.1111111111111111,0.05292617811150815,0.12888538572372374,0.009641233916982695,0.26355942290415085,5.691376763025923,0.4384469696969697,0.01730423733096029,0.12096506325843784,0.06868245407329715,-1156.5571370584853
2016-09-04,0.36173687440503766,0.32697798454187144,0.013327949932805167,0.1111111111111111,0.042603292950365954,0.5750901358803887,0.007700477481607902,-0.19872110185799644,2.584149406009311,0.21117424242424243,0.013954820821392818,0.12604469059770834,0.041259868750771346,-2141.522688615162
2016-09-25,0.39713380174563634,0.34166568275899106,0.014218040947209661,0.1111111111111111,0.04414428204176055,0.7705175497596445,0.007882915224911026,0.3067175963403723,4.014047500638539,0.2471590909090909,0.015057521092180542,0.09518639456247452,0.045501651384050525,-1777.6823264561804
2016-10-16,0.407248998994435,0.3416780173511729,0.014142159390852508,0.1111111111111111,0.044075719106003164,0.5317071793987833,0.007844727082831394,0.26315532360761285,3.4842268267603917,0.24526515151515152,0.015617347007201967,0.10737295438539499,0.032131749096798216,-1779.0005926836877
2016-11-06,0.39923561179877226,0.3433267695095013,0.014279557968872094,0.1111111111111111,0.04485095294052076,0.4875869046878023,0.007992647207056417,0.16315127929005582,3.386318723117219,0.23958333333333334,0.015645512655847762,0.12263450559074161,0.05464113396199342,-1808.1294459168123
