date,MRF,regime
1913-01-01,-1.6287328970530068,risk_off
1913-02-01,-1.630217218858475,risk_off
1913-03-01,-1.630217218858475,risk_off
1913-04-01,-1.630217218858475,risk_off
1913-05-01,-1.6317015406639432,risk_off
1913-06-01,-1.6317015406639432,risk_off
1913-07-01,-1.630217218858475,risk_off
1913-08-01,-1.630217218858475,risk_off
1913-09-01,-1.6272485752475383,risk_off
1913-10-01,-1.6272485752475383,risk_off
1913-11-01,-1.6287328970530068,risk_off
1913-12-01,-1.6317015406639432,risk_off
1914-01-01,-1.6331858624694118,risk_off
1914-02-01,-1.6331858624694118,risk_off
1914-03-01,-1.6346701842748799,risk_off
1914-04-01,-1.6346701842748799,risk_off
1914-05-01,-1.6361545060803484,risk_off
1914-06-01,-1.6361545060803484,risk_off
1914-07-01,-1.6361545060803484,risk_off
1914-08-01,-1.630217218858475,risk_off
1914-09-01,-1.6287328970530068,risk_off
1914-10-01,-1.6346701842748799,risk_off
1914-11-01,-1.6346701842748799,risk_off
1914-12-01,-1.6361545060803484,risk_off
1915-01-01,-1.6331858624694118,risk_off
1915-02-01,-1.6331858624694118,risk_off
1915-03-01,-1.6331858624694118,risk_off
1915-04-01,-1.6331858624694118,risk_off
1915-05-01,-1.6317015406639432,risk_off
1915-06-01,-1.6331858624694118,risk_off
1915-07-01,-1.6317015406639432,risk_off
1915-08-01,-1.6331858624694118,risk_off
1915-09-01,-1.6331858624694118,risk_off
1915-10-01,-1.6287328970530068,risk_off
1915-11-01,-1.6257642534420702,risk_off
1915-12-01,-1.6183426444147286,risk_off
1916-01-01,-1.610921035387387,risk_off
1916-02-01,-1.6079523917764504,risk_off
1916-03-01,-1.602015104554577,risk_off
1916-04-01,-1.5990464609436406,risk_off
1916-05-01,-1.597562139138172,risk_off
1916-06-01,-1.596077817332704,risk_off
1916-07-01,-1.5945934955272354,risk_off
1916-08-01,-1.5901405301108305,risk_off
1916-09-01,-1.5856875646944257,risk_off
1916-10-01,-1.5752973120561475,risk_off
1916-11-01,-1.558969772195996,risk_off
1916-12-01,-1.5545168067795911,risk_off
1917-01-01,-1.5470951977522496,risk_off
1917-02-01,-1.5411579105303763,risk_off
1917-03-01,-1.5337363015030347,risk_off
1917-04-01,-1.515924439837415,risk_off
1917-05-01,-1.4995968999772635,risk_off
1917-06-01,-1.496628256366327,risk_off
1917-07-01,-1.4936596127553903,risk_off
1917-08-01,-1.4892066473389853,risk_off
1917-09-01,-1.492175290949922,risk_off
1917-10-01,-1.4951439345608588,risk_off
1917-11-01,-1.4936596127553903,risk_off
1917-12-01,-1.4936596127553903,risk_off
1918-01-01,-1.4877223255335172,risk_off
1918-02-01,-1.4951439345608588,risk_off
1918-03-01,-1.4847536819225804,risk_off
1918-04-01,-1.4803007165061757,risk_off
1918-05-01,-1.4803007165061757,risk_off
1918-06-01,-1.4788163947007071,risk_off
1918-07-01,-1.4713947856733656,risk_off
1918-08-01,-1.463973176646024,risk_off
1918-09-01,-1.4565515676186824,risk_off
1918-10-01,-1.459520211229619,risk_off
1918-11-01,-1.459520211229619,risk_off
1918-12-01,-1.459520211229619,risk_off
1919-01-01,-1.9060984894179822,risk_off
1919-02-01,-1.9160037831420977,risk_off
1919-03-01,-1.9170008470183941,risk_off
1919-04-01,-1.9132859013325627,risk_off
1919-05-01,-1.9098217174481338,risk_off
1919-06-01,-1.9036230870655282,risk_off
1919-07-01,-1.8914871694610502,risk_off
1919-08-01,-1.8855457410670164,risk_off
1919-09-01,-1.8919827097345427,risk_off
1919-10-01,-1.8922316293787937,risk_off
1919-11-01,-1.8900092878427517,risk_off
1919-12-01,-1.8803570549350475,risk_off
1920-01-01,-1.862522188393617,risk_off
1920-02-01,-1.863264349296351,risk_off
1920-03-01,-1.8637658728991542,risk_off
1920-04-01,-1.8603164115462154,risk_off
1920-05-01,-1.8556085431562486,risk_off
1920-06-01,-1.8553596235119976,risk_off
1920-07-01,-1.8585813279393455,risk_off
1920-08-01,-1.864023074887726,risk_off
1920-09-01,-1.8749171501438173,risk_off
1920-10-01,-1.8929862137980087,risk_off
1920-11-01,-1.9145277436809498,risk_off
1920-12-01,-1.9358162127474796,risk_off
1921-01-01,-1.9491856903560247,risk_off
1921-02-01,-1.9618065668746656,risk_off
1921-03-01,-1.9667592137367234,risk_off
1921-04-01,-1.9719543400558623,risk_off
1921-05-01,-1.972938980415678,risk_off
1921-06-01,-1.9771453252028415,risk_off
1921-07-01,-1.9776427076334846,risk_off
1921-08-01,-1.9751613219517203,risk_off
1921-09-01,-1.9746657816782278,risk_off
1921-10-01,-1.9694600739997585,risk_off
1921-11-01,-1.9704511545467436,risk_off
1921-12-01,-1.9724310166257046,risk_off
1922-01-01,-1.9716824155358004,risk_off
1922-02-01,-1.9659834665988485,risk_off
1922-03-01,-1.9615180776659624,risk_off
1922-04-01,-1.9637528427184854,risk_off
1922-05-01,-1.9555766492719289,risk_off
1922-06-01,-1.951113102496194,risk_off
1922-07-01,-1.9474022979825232,risk_off
1922-08-01,-1.9501284621363784,risk_off
1922-09-01,-1.944425372027266,risk_off
1922-10-01,-1.938226741644661,risk_off
1922-11-01,-1.9330210339661915,risk_off
1922-12-01,-1.9300441080109345,risk_off
1923-01-01,-1.9302990109844966,risk_off
1923-02-01,-1.9273262262013997,risk_off
1923-03-01,-1.9223694381671814,risk_off
1923-04-01,-1.9206302133881512,risk_off
1923-05-01,-1.9221122361786098,risk_off
1923-06-01,-1.9245876385310634,risk_off
1923-07-01,-1.9278070439434019,risk_off
1923-08-01,-1.9305332080972573,risk_off
