,coherence,dispersion
2016-02-07,0.42656324757092007,0.4521422124416313
2016-02-08,0.4265632475709201,0.4521422124416313
2016-02-09,0.43515234766839905,0.46005614310312837
2016-02-10,0.43428564489334565,0.460169145905885
2016-02-11,0.4335284346385195,0.46009127814257816
2016-02-12,0.44281310954857245,0.46634688671521113
2016-02-13,0.44838740698809215,0.46952786777580124
2016-02-14,0.44838740698809215,0.46952786777580124
2016-02-15,0.44838740698809215,0.4695278677758012
2016-02-16,0.4550248654482341,0.47679400829652124
2016-02-17,0.455141696183981,0.47859843819233916
2016-02-18,0.4664847996427411,0.48728338455293874
2016-02-19,0.4627413009118565,0.48406911620686505
2016-02-20,0.45678632971842226,0.4787198544520612
2016-02-21,0.45678632971842226,0.4787198544520613
2016-02-22,0.45678632971842226,0.4787198544520613
2016-02-23,0.4656074308937119,0.48665435831820475
2016-02-24,0.46404882242025103,0.48506815046317125
2016-02-25,0.45817079328845656,0.47976126048113754
2016-02-26,0.45562529550963005,0.4792844733759826
2016-02-27,0.4460081796882138,0.4727146301640966
2016-02-28,0.4460081796882139,0.47271463016409654
2016-02-29,0.44600817968821393,0.4727146301640966
2016-03-01,0.44575077161588517,0.46751057744880614
2016-03-02,0.4519832589605399,0.47734198194227656
2016-03-03,0.45191845493684457,0.4773883539524632
2016-03-04,0.45122016648755314,0.47633155113023334
2016-03-05,0.4524523182129634,0.47695754388074424
2016-03-06,0.4524523182129634,0.47695754388074424
2016-03-07,0.4524523182129634,0.47695754388074413
2016-03-08,0.4488325221149865,0.4713009597451433
2016-03-09,0.4511393609829449,0.47315106129474155
2016-03-10,0.44562376747122184,0.4684220951714667
2016-03-11,0.44066055031833085,0.4631587846718762
2016-03-12,0.4449827928954549,0.46748064681133644
2016-03-13,0.4449827928954549,0.46748064681133644
2016-03-14,0.44498279289545484,0.4674806468113364
2016-03-15,0.44848797055965184,0.46993931957284824
2016-03-16,0.4537835572717763,0.473653194279652
2016-03-17,0.4438165102376256,0.4650914051480839
2016-03-18,0.43502479290476054,0.4591081998869787
2016-03-19,0.4195958985632241,0.4447364881624388
2016-03-20,0.41959589856322405,0.4447364881624388
2016-03-21,0.4195958985632241,0.4447364881624389
2016-03-22,0.4191598399312606,0.44450817919727353
2016-03-23,0.4205372276172936,0.4454230962134415
2016-03-24,0.41573620572060416,0.4420333706801451
2016-03-25,0.4152750057520547,0.44139796902541273
2016-03-26,0.40838617586442355,0.4368752488871164
2016-03-27,0.40838617586442344,0.4368752488871164
2016-03-28,0.4083861758644235,0.4368752488871164
2016-03-29,0.40523177971858576,0.43474714694808586
2016-03-30,0.3999998353481009,0.4308098186506623
2016-03-31,0.4056554348853877,0.4352457593961171
2016-04-01,0.410786559132561,0.4391101580531025
2016-04-02,0.42383976232665466,0.447409773678587
2016-04-03,0.4238397623266546,0.4474097736785871
2016-04-04,0.42386046698192553,0.4474385306203894
2016-04-05,0.42692277095634124,0.44897253250360575
2016-04-06,0.4225727092723324,0.44371889056115194
2016-04-07,0.43239909633074786,0.45254966315687695
2016-04-08,0.4468228750418482,0.4654892265173315
2016-04-09,0.4499005328738262,0.46607983296027145
2016-04-10,0.44990053287382625,0.4660798329602715
2016-04-11,0.44990053287382625,0.4660798329602715
2016-04-12,0.4257376635585847,0.4452546780737247
2016-04-13,0.4333973951514035,0.4520646451122457
2016-04-14,0.4283660054780948,0.44800232810778606
2016-04-15,0.4129889367417895,0.43628377052134526
2016-04-16,0.39026968025149966,0.42060286328185814
2016-04-17,0.39026968025149966,0.42060286328185814
2016-04-18,0.3902696802514996,0.4206028632818581
2016-04-19,0.3898098034066423,0.4199193088730883
2016-04-20,0.3815033634058526,0.4104839251406143
2016-04-21,0.3679563684388482,0.4011046592388784
2016-04-22,0.36503355948168276,0.3997025587636737
2016-04-23,0.36249398033679475,0.39728134066633125
2016-04-24,0.36249398033679475,0.3972813406663313
2016-04-25,0.3624939803367948,0.3972813406663313
2016-04-26,0.35676826041358756,0.3924920372274369
2016-04-27,0.35006377550378953,0.3870033923300918
2016-04-28,0.34804722379621755,0.3860707508870521
2016-04-29,0.3500444272647442,0.3871595792236165
2016-04-30,0.3559992454134069,0.39114132322455153
2016-05-01,0.3558863466888815,0.3910304677901073
2016-05-02,0.3558863466888815,0.3910304677901073
2016-05-03,0.36050720919979357,0.3951206711684664
2016-05-04,0.3378371708896112,0.3766861069048423
2016-05-05,0.33770098149807964,0.3791655519034106
2016-05-06,0.3395296900975873,0.38088024678157195
2016-05-07,0.3354872269873009,0.37740465288135483
2016-05-08,0.3354872269873009,0.37740465288135483
2016-05-09,0.3354872269873009,0.37740465288135483
2016-05-10,0.3338704227623011,0.3775869376758275
2016-05-11,0.3257483972678152,0.3708186398255334
2016-05-12,0.3219058188979779,0.36854134014878254
2016-05-13,0.3223141787242926,0.36968362003336125
2016-05-14,0.31548682311741943,0.36024438479399057
2016-05-15,0.3154868231174194,0.36024438479399057
2016-05-16,0.31548682311741943,0.36024438479399057
2016-05-17,0.3264052060080398,0.3685067624065833
2016-05-18,0.3275256967496661,0.3708986604495374
2016-05-19,0.32861866516585925,0.3768602475682651
2016-05-20,0.33678931332751055,0.3811166100230513
2016-05-21,0.34040352851389005,0.3839043739316506
2016-05-22,0.34040352851389016,0.3839043739316506
2016-05-23,0.34040352851389016,0.3839043739316506
2016-05-24,0.338387415373941,0.38211358330224077
2016-05-25,0.34481822391075057,0.3891985286633635
2016-05-26,0.3416443238806172,0.38960703272180136
2016-05-27,0.34214440108737215,0.39058553458524936
2016-05-28,0.342105712417298,0.3905234834282965
2016-05-29,0.342105712417298,0.3905234834282965
2016-05-30,0.342105712417298,0.3905234834282965
2016-05-31,0.34362568355504597,0.3918438126426838
2016-06-01,0.3554709787377737,0.3995240589072312
2016-06-02,0.35253234032479974,0.3972617452847119
2016-06-03,0.35180723520901935,0.3982744660836564
2016-06-04,0.35237492132087667,0.40104415552465106
2016-06-05,0.35237492132087667,0.40104415552465106
2016-06-06,0.35237492132087667,0.40104415552465106
2016-06-07,0.3544221214828753,0.40329669229775006
2016-06-08,0.34347861989228984,0.39446120113846683
2016-06-09,0.3353941833539505,0.38909665076890154
2016-06-10,0.3208574073373397,0.3786221345358182
2016-06-11,0.3283125953590571,0.38574735267249893
2016-06-12,0.32831259535905705,0.38574735267249893
2016-06-13,0.32831259535905716,0.385747352672499
2016-06-14,0.3341198056503253,0.3895029158085181
2016-06-15,0.3225926069689714,0.38063884432660666
2016-06-16,0.33127364420348254,0.38340978974658435
2016-06-17,0.32736398437858066,0.3803132008722559
2016-06-18,0.3254607784723873,0.37916212623581136
2016-06-19,0.3254607784723873,0.3791621262358114
2016-06-20,0.3254607784723873,0.37916212623581136
2016-06-21,0.33096248784201543,0.38405450911450234
2016-06-22,0.33478989911734197,0.3878869013279188
2016-06-23,0.33050683206308706,0.38353514947532064
2016-06-24,0.3498596753374924,0.4005900921641313
2016-06-25,0.45441528545832877,0.4942019893322904
2016-06-26,0.45441528545832877,0.4942019893322904
2016-06-27,0.45441528545832877,0.4942019893322904
2016-06-28,0.47325222583774934,0.5080806221851504
2016-06-29,0.47543141770424696,0.509901034785088
2016-06-30,0.48869363391063636,0.5196140618307578
2016-07-01,0.48735494364646137,0.5201708088811544
2016-07-02,0.4842442746848002,0.5173707717652685
2016-07-03,0.4843859646313792,0.5175803471104755
2016-07-04,0.4843859646313792,0.5175803471104755
2016-07-05,0.48635346051355305,0.5194147462401255
2016-07-06,0.48574331869398857,0.5188175883072791
2016-07-07,0.4884268455617223,0.5206062185980892
2016-07-08,0.4859758202825575,0.5179884473697355
2016-07-09,0.47688153040569525,0.5134894380936322
2016-07-10,0.4768815304056953,0.5134894380936322
2016-07-11,0.47688153040569536,0.5134894380936322
2016-07-12,0.4808501473111927,0.5169201401214967
2016-07-13,0.4874790782094428,0.5239347301779855
2016-07-14,0.4927644429104971,0.5290406356013564
2016-07-15,0.49584334899675114,0.5322312995543125
2016-07-16,0.4923629395089026,0.5301317617432443
2016-07-17,0.4923629395089027,0.5301317617432443
2016-07-18,0.4923629395089027,0.5301317617432443
2016-07-19,0.48822856689120064,0.5277048206583287
2016-07-20,0.4911455081203206,0.5305113758575528
2016-07-21,0.5017369773493477,0.5375318519398662
2016-07-22,0.5025980219688257,0.538417341338612
2016-07-23,0.5028004583265746,0.5388114365602938
2016-07-24,0.5028004583265745,0.5388114365602938
2016-07-25,0.5028004583265746,0.538811436560294
2016-07-26,0.5026448485469368,0.5383058988485518
2016-07-27,0.49984152852856806,0.5362034001225692
2016-07-28,0.493732143906445,0.530706879216936
2016-07-29,0.49320552965221875,0.529900337895088
2016-07-30,0.48505617879953794,0.524315436763315
2016-07-31,0.4850561787995381,0.524315436763315
2016-08-01,0.484835705154937,0.5239778386753413
2016-08-02,0.47623644430154477,0.5168271829638142
2016-08-03,0.47145332449093946,0.5135056458281575
2016-08-04,0.4715472162556918,0.5136001948197791
2016-08-05,0.47124243423105894,0.5131673469412547
2016-08-06,0.48017343783765803,0.5197861552782956
2016-08-07,0.48017343783765803,0.5197861552782956
2016-08-08,0.48017343783765803,0.5197861552782955
2016-08-09,0.47688672980678953,0.5172794307387876
2016-08-10,0.4769049234989974,0.5173914607968693
2016-08-11,0.4777366706750236,0.5182450968157071
2016-08-12,0.47667010249664155,0.5178499640274694
2016-08-13,0.47275077888764305,0.5135298089928281
2016-08-14,0.47275077888764305,0.5135298089928282
2016-08-15,0.47275077888764305,0.5135298089928281
2016-08-16,0.47307411036586977,0.5130396619981675
