,PCA,Correlation,Volatility,Skewness,Kurtosis,Entropy,Anomaly,Clustering,Regime_GMM,HMM,Magnitude,Drawdown,Momentum,Network,Dispersion,Covariance
1986-02-07,0.3141063243436459,0.17683191179782512,0.030486019647596715,0.6593153000532577,0.14367019088257799,0.8590455948395674,0.5,0.8248954432288904,0.17225924615832877,0.0,0.013198809305891748,0.0,0.4399117880821261,0.028662420382165602,0.020078470916268736,0.6874724521453114
1986-02-12,0.32775763153881304,0.22087848214956013,0.03279379295864003,0.6432031751264579,0.11989282045658553,0.8616820317941964,0.5,0.805634269238249,0.1984315015271402,0.0,0.018678547231195223,0.0,0.57109279167996,0.03184713375796178,0.02275632845783887,0.7078246065208242
1986-02-17,0.43870554865678457,0.3323523200055928,0.035344180128083304,0.6377264255393129,0.10800040890276127,0.8624904402865072,0.5,0.8794623822590735,0.237115467709863,0.0,0.02449348063292719,0.0,0.35377636732605156,0.057324840764331204,0.026405145186231143,0.7032457617408584
1986-02-22,0.47226851677743875,0.3347556597759715,0.03866234467866927,0.6619647508288763,0.10162050351043754,0.877868380418224,0.5,0.8612767362791894,0.23074982750271178,0.0,0.030082233500520847,0.0,0.5390525457299022,0.06050955414012739,0.027964033644917837,0.6204666819084532
1986-02-27,0.46179241797232856,0.319482506881586,0.04149094542591783,0.6604964373147915,0.09158344660292891,0.8816769542534213,0.5,0.8616465672642448,0.27335419525798466,0.0,0.03751650974872937,0.0,0.562495051615539,0.06369426751592357,0.033001040927620504,0.6164484245783677
1986-03-04,0.49900701714330925,0.3415746111530196,0.04600199585972109,0.7138356338143064,0.10377628922965343,0.9055297606548759,0.5,0.8424133506848565,0.3013428752441333,0.0,0.04515795005228703,0.0,0.522035593062767,0.06687898089171974,0.03594991677641356,0.5720894676553386
1986-03-09,0.4590864909486352,0.3530096882903027,0.0380483202663885,0.649306558034588,0.04984982408079181,0.9084808446144099,0.5,0.85427728373006,0.3285032225271353,0.0,0.05237073183808542,0.0,0.4826795754074713,0.04777070063694268,0.03425834946856946,0.3917561934088485
1986-03-14,0.40141969806145084,0.2801222904258358,0.03630898689597196,0.665163779020756,0.027529033498351316,0.8871217500864709,0.5,0.8016740614390782,0.3339180753835369,0.0,0.053866301610421094,0.0,0.9614267272504046,0.03821656050955414,0.03388130022408657,0.5457721643808099
1986-03-19,0.4079412769506871,0.29948921953767704,0.03603557709402361,0.6838552312454657,0.024718282054334892,0.8850060290078166,0.5,0.8439473003928027,0.004015413145677623,0.0,0.05386402464711547,0.0,0.773612697241821,0.04140127388535032,0.03394217114182176,0.5400714351841333
1986-03-24,0.42879209487718056,0.313256935363265,0.03745833955924721,0.6852023331778951,0.02206480799490423,0.8824344405491169,0.5,0.8503473304250861,0.2372456816427649,0.0,0.0556075938799078,0.0,0.593192619710424,0.04140127388535032,0.035975882330694944,0.5730692936092688
1986-03-29,0.4534387450344337,0.34561335080518685,0.041097788901912895,0.6674779935676313,0.01324975166490285,0.8821065624560431,0.5,0.8448258802191261,0.017265352765275598,0.0,0.06237200049589257,0.0,0.6940848920557767,0.04140127388535032,0.039361448293813425,0.6010509411651421
1986-04-03,0.4683721632035943,0.36374666232839614,0.045697283315436356,0.6414502926619537,0.031105527946151686,0.8855514578011874,0.5,0.8566255920172771,0.01736118119347054,0.0,0.06645815942609969,0.0,0.6077517458077032,0.04140127388535032,0.042621224913245354,0.511586491346843
1986-04-08,0.471769738689894,0.3854442012778195,0.05485028533419371,0.6427102818047778,0.024841121416709452,0.896533910742345,0.5,0.8660843591106254,0.01773134146283516,0.0,0.07661444979366697,0.0,0.5365885446747765,0.04140127388535032,0.050631216687572624,0.2662591543369639
1986-04-13,0.4772339545239366,0.38529851180478564,0.056050231053179196,0.6410295493287806,0.019753678493634234,0.9022111188100196,0.5,0.8682217928566794,0.2505535514724759,0.0,0.07851555645576758,0.0,0.37705826384335017,0.044585987261146494,0.05215676278360529,0.2468929569943352
1986-04-18,0.5062725746334912,0.4257346608467567,0.061513567272534535,0.6554870089787067,0.020659711466945382,0.9096644304609722,0.5,0.9100338228689353,0.17984061228416667,0.0,0.08475319949142579,0.0,0.46497425194555797,0.044585987261146494,0.05833337300566453,0.2077996436289605
1986-04-23,0.45573094431279987,0.35660814468395613,0.06378905341224282,0.6641136952003927,0.02327130119063974,0.9196012872568372,0.5,0.8797582381329437,0.1665230107180677,0.0,0.08996892070544608,0.0,0.3529290987081687,0.044585987261146494,0.061671117698105765,0.16651337022307505
1986-04-28,0.4477667000264126,0.35971464658369123,0.06525398255409214,0.643086856159079,0.020562285278826725,0.9247603243763218,0.5,0.8646058791862343,0.16231977882260756,0.0,0.0921486755450827,0.0,0.27856898471738495,0.04140127388535032,0.0632767344128163,0.1541199128882353
1986-05-03,0.4174968707569953,0.340044856225341,0.06548765421544281,0.6627438683838629,0.02420097259307153,0.9314748772665064,0.5,0.8483844949239587,0.5093361269373888,0.0,0.09352005577750365,0.0,0.425972193784154,0.03503184713375796,0.0641370837371728,0.18771611592107604
1986-05-08,0.4037162097499277,0.32620721859673774,0.05923950695946381,0.6968336447908353,0.034550054895678396,0.9342758142424905,0.5,0.8606546998286252,0.1493320870115269,0.0,0.08356934788130077,0.0,0.2748794330384639,0.03503184713375796,0.05557578852238081,0.27487655174358594
1986-05-13,0.42415737115915564,0.3506155255719051,0.054397152545189946,0.6905000361967797,0.03821757942890399,0.933771201665595,0.5,0.8915917605695034,0.5116960669106253,0.0,0.07684629750636286,0.0,0.31431992482848986,0.044585987261146494,0.05029059408333054,0.24393278880177474
