,consensus
2009-11-28,0.0625
2009-12-03,0.1875
2009-12-08,0.0625
2009-12-13,0.0625
2009-12-18,0.0625
2009-12-23,0.0625
2009-12-28,0.0625
2010-01-02,0.0625
2010-01-07,0.125
2010-01-12,0.125
2010-01-17,0.125
2010-01-22,0.125
2010-01-27,0.125
2010-02-01,0.125
2010-02-06,0.1875
2010-02-11,0.1875
2010-02-16,0.1875
2010-02-21,0.1875
2010-02-26,0.1875
2010-03-03,0.125
2010-03-08,0.1875
2010-03-13,0.25
2010-03-18,0.1875
2010-03-23,0.1875
2010-03-28,0.1875
2010-04-02,0.1875
2010-04-07,0.1875
2010-04-12,0.125
2010-04-17,0.0625
2010-04-22,0.0625
2010-04-27,0.0625
2010-05-02,0.125
2010-05-07,0.5
2010-05-12,0.375
2010-05-17,0.4375
2010-05-22,0.375
2010-05-27,0.375
2010-06-01,0.4375
2010-06-06,0.375
2010-06-11,0.375
2010-06-16,0.3125
2010-06-21,0.3125
2010-06-26,0.3125
2010-07-01,0.3125
2010-07-06,0.375
2010-07-11,0.375
2010-07-16,0.3125
2010-07-21,0.3125
2010-07-26,0.3125
2010-07-31,0.25
2010-08-05,0.3125
2010-08-10,0.1875
2010-08-15,0.25
2010-08-20,0.25
2010-08-25,0.375
2010-08-30,0.375
2010-09-04,0.3125
2010-09-09,0.3125
2010-09-14,0.3125
2010-09-19,0.3125
2010-09-24,0.25
2010-09-29,0.3125
2010-10-04,0.3125
2010-10-09,0.3125
2010-10-14,0.25
2010-10-19,0.125
2010-10-24,0.125
2010-10-29,0.0625
2010-11-03,0.0625
2010-11-08,0.0625
2010-11-13,0.0625
2010-11-18,0.0625
2010-11-23,0.0625
2010-11-28,0.0625
2010-12-03,0.125
2010-12-08,0.0625
2010-12-13,0.0625
2010-12-18,0.125
2010-12-23,0.1875
2010-12-28,0.125
2011-01-02,0.125
2011-01-07,0.0625
2011-01-12,0.0625
2011-01-17,0.125
2011-01-22,0.0625
2011-01-27,0.0625
2011-02-01,0.0
2011-02-06,0.0
2011-02-11,0.0
2011-02-16,0.0
2011-02-21,0.0
2011-02-26,0.0625
2011-03-03,0.0625
2011-03-08,0.0
2011-03-13,0.0
2011-03-18,0.0
2011-03-23,0.0
2011-03-28,0.0625
2011-04-02,0.125
2011-04-07,0.1875
2011-04-12,0.0625
2011-04-17,0.0625
2011-04-22,0.0625
2011-04-27,0.0
2011-05-02,0.0
2011-05-07,0.125
2011-05-12,0.25
2011-05-17,0.125
2011-05-22,0.0
2011-05-27,0.0
2011-06-01,0.0
2011-06-06,0.0625
2011-06-11,0.0625
2011-06-16,0.1875
2011-06-21,0.1875
2011-06-26,0.1875
2011-07-01,0.25
2011-07-06,0.25
2011-07-11,0.25
2011-07-16,0.25
2011-07-21,0.125
2011-07-26,0.1875
2011-07-31,0.3125
2011-08-05,0.375
2011-08-10,0.4375
2011-08-15,0.25
2011-08-20,0.3125
2011-08-25,0.3125
2011-08-30,0.3125
2011-09-04,0.375
2011-09-09,0.3125
2011-09-14,0.3125
2011-09-19,0.375
2011-09-24,0.375
2011-09-29,0.4375
2011-10-04,0.4375
2011-10-09,0.375
2011-10-14,0.375
2011-10-19,0.375
2011-10-24,0.3125
2011-10-29,0.3125
2011-11-03,0.375
2011-11-08,0.375
2011-11-13,0.3125
2011-11-18,0.3125
2011-11-23,0.3125
2011-11-28,0.3125
2011-12-03,0.3125
2011-12-08,0.3125
2011-12-13,0.3125
2011-12-18,0.3125
2011-12-23,0.3125
2011-12-28,0.3125
2012-01-02,0.3125
2012-01-07,0.3125
2012-01-12,0.3125
2012-01-17,0.3125
2012-01-22,0.3125
2012-01-27,0.3125
2012-02-01,0.3125
2012-02-06,0.1875
2012-02-11,0.1875
2012-02-16,0.125
2012-02-21,0.1875
2012-02-26,0.0
2012-03-02,0.0
2012-03-07,0.0
2012-03-12,0.0
2012-03-17,0.0
2012-03-22,0.0
2012-03-27,0.0
2012-04-01,0.0
2012-04-06,0.0
2012-04-11,0.0
2012-04-16,0.0
2012-04-21,0.0
2012-04-26,0.0625
2012-05-01,0.0625
2012-05-06,0.125
2012-05-11,0.0
2012-05-16,0.0
2012-05-21,0.125
2012-05-26,0.1875
2012-05-31,0.3125
2012-06-05,0.25
2012-06-10,0.375
2012-06-15,0.375
2012-06-20,0.375
2012-06-25,0.375
2012-06-30,0.375
2012-07-05,0.4375
2012-07-10,0.3125
2012-07-15,0.375
2012-07-20,0.25
2012-07-25,0.375
2012-07-30,0.375
2012-08-04,0.3125
2012-08-09,0.3125
2012-08-14,0.375
2012-08-19,0.3125
2012-08-24,0.375
2012-08-29,0.375
2012-09-03,0.25
2012-09-08,0.25
2012-09-13,0.1875
2012-09-18,0.125
2012-09-23,0.125
2012-09-28,0.0
2012-10-03,0.0625
2012-10-08,0.0
2012-10-13,0.0
2012-10-18,0.0
2012-10-23,0.0
2012-10-28,0.0
2012-11-02,0.0625
