date,gld_gld
2025-10-27,367.010009765625
2025-10-28,364.3800048828125
2025-10-29,363.0
2025-10-30,370.1300048828125
2025-10-31,368.1199951171875
2025-11-03,368.7799987792969
2025-11-04,362.32000732421875
2025-11-05,366.510009765625
2025-11-06,366.07000732421875
2025-11-07,368.30999755859375
2025-11-10,378.3800048828125
2025-11-11,379.8699951171875
2025-11-12,385.989990234375
2025-11-13,382.8699951171875
2025-11-14,375.9599914550781
2025-11-17,371.6499938964844
2025-11-18,374.3500061035156
2025-11-19,374.9599914550781
2025-11-20,374.8500061035156
2025-11-21,374.2699890136719
2025-11-24,380.20001220703125
2025-11-25,380.0799865722656
2025-11-26,383.1199951171875
