date,tlt_tlt
2025-10-27,91.44963073730469
2025-10-28,91.68876647949219
2025-10-29,90.76211547851562
2025-10-30,90.23402404785156
2025-10-31,89.96499633789062
2025-11-03,89.73999786376953
2025-11-04,89.94000244140625
2025-11-05,88.95999908447266
2025-11-06,89.76000213623047
2025-11-07,89.56999969482422
2025-11-10,89.55000305175781
2025-11-11,89.95999908447266
2025-11-12,90.12000274658203
2025-11-13,89.37999725341797
2025-11-14,88.87000274658203
2025-11-17,89.08999633789062
2025-11-18,89.05999755859375
2025-11-19,88.87999725341797
2025-11-20,89.2300033569336
2025-11-21,89.5
2025-11-24,90.01000213623047
2025-11-25,90.23999786376953
2025-11-26,90.63999938964844
