date,uso_uso
2025-10-27,73.12000274658203
2025-10-28,71.38999938964844
2025-10-29,71.80000305175781
2025-10-30,71.70999908447266
2025-10-31,72.55999755859375
2025-11-03,72.73999786376953
2025-11-04,71.93000030517578
2025-11-05,71.02999877929688
2025-11-06,70.87999725341797
2025-11-07,71.26000213623047
2025-11-10,71.68000030517578
2025-11-11,72.72000122070312
2025-11-12,69.79000091552734
2025-11-13,69.8499984741211
2025-11-14,71.37999725341797
2025-11-17,71.30000305175781
2025-11-18,72.5
2025-11-19,70.87999725341797
2025-11-20,70.1500015258789
2025-11-21,69.30000305175781
2025-11-24,70.41999816894531
2025-11-25,69.25
2025-11-26,70.04000091552734
