date,hyg_hyg
2025-10-27,80.86756134033203
2025-10-28,80.7879638671875
2025-10-29,80.53923797607422
2025-10-30,80.38999938964844
2025-10-31,80.38999938964844
2025-11-03,80.13999938964844
2025-11-04,80.1500015258789
2025-11-05,80.2300033569336
2025-11-06,80.26000213623047
2025-11-07,80.33000183105469
2025-11-10,80.5999984741211
2025-11-11,80.69000244140625
2025-11-12,80.52999877929688
2025-11-13,80.19999694824219
2025-11-14,80.22000122070312
2025-11-17,80.08999633789062
2025-11-18,80.11000061035156
2025-11-19,80.1500015258789
2025-11-20,80.0999984741211
2025-11-21,80.37000274658203
2025-11-24,80.58999633789062
2025-11-25,80.87000274658203
2025-11-26,80.94999694824219
